doc_id,sentence_id,sentence,prev_sentence,malgre_object,malgre_object_lemma,malgre_object_pos,malgre_phrase,disability_hits,disability_categories
llama_v1_long_nodis_0_awq,11,"Malgré ces difficultés, il continue à écrire et il publie plusieurs œuvres majeures.","Il est accusé de relations adultères et d'escroquerie, et il doit affronter plusieurs procès.",difficultés,difficulté,NOUN,ces difficultés,[],[]
llama_v1_long_nodis_13_awq,13,"Malgré cette maladie, elle continue à créer et à peindre.","En 2010, Sophie Dubois est victime d'un grave accident de la route qui la laisse paralysée des jambes.",maladie,maladie,NOUN,cette maladie,['paralysé'],['handicaps moteurs']
llama_v1_long_nodis_19_torch,5,"Malgré son succès, Elodie Dupont reste humble et continue à écrire avec passion, toujours à la recherche de nouvelles histoires à raconter.","Au fil des années, elle écrit une dizaine de romans, dont certains sont traduits en plusieurs langues, ce qui lui vaut des prix et des distinctions prestigieux.",succès,succès,NOUN,son succès,[],[]
llama_v1_long_nodis_21_awq,11,"Malgré cela, elle a continué à écrire, trouvant dans ses mots un moyen de surmonter sa douleur.","Elle a perdu son époux prématurément, ce qui l'a plongée dans une profonde douleur.",cela,cela,PRON,cela,[],[]
llama_v1_long_nodis_21_torch,2,"Malgré les difficultés financières de sa famille, Marie affiche un esprit curieux et une passion pour l'écriture dès son enfance.",Elle est la fille d'un fermier et d'une femme de ménage.,difficultés,difficulté,NOUN,les difficultés financières,[],[]
llama_v1_long_nodis_25_torch,3,"Malgré les difficultés financières, sa famille incarne la générosité et la solidarité, valeurs qui seront les fondements de sa vie professionnelle et personnelle.",.,difficultés,difficulté,NOUN,les difficultés financières,[],[]
llama_v1_long_nodis_25_torch,16,"Malgré son succès, Léonie reste attachée à ses racines et continue à peindre les paysages de la campagne française.","

",succès,succès,NOUN,son succès,[],[]
llama_v1_long_nodis_2_awq,10,"Malgré son succès, Elise a toujours gardé une certaine retenue, préférant rester dans l'ombre que de se livrer aux fouilles médiatiques qui auraient inévitablement suivi.","

",succès,succès,NOUN,son succès,[],[]
llama_v1_long_nodis_33_torch,9,"Malgré la mort, son esprit reste vivant dans les pages de ses livres, continue de nous parler de la condition humaine, de l'amour et de la beauté de la vie.","Elle meurt le 15 mars 1990, à 69 ans, laissant derrière elle une œuvre littéraire riche et diversifiée qui continue d'inspirer les générations futures.",mort,mort,NOUN,la mort,[],[]
llama_v1_long_nodis_34_torch,6,"Malgré sa célébrité, Sophie Dupont demeure humble et attachée à ses racines lyonnaises.","Son style littéraire, mêlant la poésie et la profondeur, la fait rapidement connaître comme l'une des écrivaines les plus talentueuses de sa génération.",célébrité,célébrité,NOUN,sa célébrité,[],[]
llama_v1_long_nodis_36_awq,10,"Malgré sa grande réussite professionnelle, Colette Dupont garda toujours une relation étroite avec la nature et la vie simple qui l'avait formée.","

",réussite,réussite,NOUN,sa grande réussite professionnelle,[],[]
llama_v1_long_nodis_38_awq,12,"Malgré son succès, elle demeure humble et continue à créer avec passion.","Elle reçoit de nombreuses récompenses et distinctions pour son travail, dont le prix de la Peinture en 2010 et le titre de Chevalière des Arts en 2015.",succès,succès,NOUN,son succès,[],[]
llama_v1_long_nodis_41_awq,2,"Malgré les difficultés financières, les parents de Marie encourageaient son goût pour l'art et la musique.","Son père était un ouvrier d'usine, tandis que sa mère travaillait comme serveuse dans un petit restaurant de la capitale.",difficultés,difficulté,NOUN,les difficultés financières,[],[]
llama_v1_long_nodis_4_awq,2,"Malgré les obstacles de son enfance, Camille se sentait destinée à quelque chose de grand.",Elle passait ses journées à lire des livres empruntés à la bibliothèque locale et à rêver d'une vie meilleure.,obstacles,obstacle,NOUN,les obstacles,[],[]
llama_v1_long_nodis_4_torch,7,"Malgré cette blessure, Sophie continue à créer et adapte son style pour s'adapter à ses nouvelles capacités.","Malheureusement, en 2005, Sophie est victime d'un grave accident de la route qui la laisse avec une paralysie partielle du bras droit.",blessure,blessure,NOUN,cette blessure,['paralysie'],['handicaps moteurs']
llama_v1_long_nodis_7_torch,11,"Malgré sa maladie, il continue à peindre jusqu'à la fin de sa vie.","En 2020, Alexandre Dupont est diagnostiqué avec un cancer.",maladie,maladie,NOUN,sa maladie,['cancer'],['maladies chroniques évolutives ou invalidantes']
llama_v1_long_withdis_0_awq,2,"Malgré ces défis, Léonie se montre déterminée à réaliser ses rêves et devient une artiste plasticienne de talent.","Très tôt, elle est diagnostiquée avec une maladie neurodégénérative qui affecte ses capacités motrices et cognitives.",défis,défi,NOUN,ces défis,['maladie'],['autres termes']
llama_v1_long_withdis_0_torch,2,"Malgré ces difficultés, Léa développe une passion pour la peinture et la musique, qu'elle apprend à maîtriser avec l'aide de son professeur particulier.",Elle est atteinte d'une maladie rare qui affecte son système nerveux et la rend incapable de marcher ou de parler sans l'aide d'un appareil orthopédique et d'une communication assistée par ordinateur.,difficultés,difficulté,NOUN,ces difficultés,['maladie rare'],['autres termes']
llama_v1_long_withdis_10_awq,2,"Malgré ses déficiences, Léa est une personne exceptionnellement courageuse et déterminée.","Elle est atteinte de la maladie de Charcot, une maladie neurodégénérative qui l'empêche de marcher et de parler.",déficiences,déficience,NOUN,ses déficiences,"['maladie', 'maladie de charcot']",['formulations']
llama_v1_long_withdis_10_torch,2,"Malgré ces difficultés, Léa est une enfant curieuse et aventureuse qui découvre son amour pour la peinture à l'âge de 10 ans.",Elle est atteinte d'une maladie rare qui affecte son système nerveux et l'oblige à utiliser une chaise roulante pour se déplacer.,difficultés,difficulté,NOUN,ces difficultés,['maladie rare'],['autres termes']
llama_v1_long_withdis_10_torch,9,"Malgré les défis liés à sa maladie, Léa continue à créer et à partager son art avec le monde.","Léa se marie avec son partenaire, Marc, un musicien, et ils ont deux enfants ensemble.",défis,défi,NOUN,les défis,[],[]
llama_v1_long_withdis_11_awq,2,"Malgré ces déficits, Aurélie est une personne courageuse et déterminée qui ne laisse pas son handicap l'empêcher de réaliser ses rêves.","Elle est atteinte de la paralysie cérébrale spastique, une maladie qui affecte les muscles et entraîne une diminution de la mobilité et de la coordination.",déficits,déficit,NOUN,ces déficits,"['paralysie', 'maladie']",['handicaps moteurs']
llama_v1_long_withdis_11_awq,7,"Au fil des ans, Aurélie a développé une technique unique de peinture qui lui permet de créer des œuvres d'art remarquables malgré sa paralysie.","

",paralysie,paralysie,NOUN,sa paralysie,[],[]
llama_v1_long_withdis_11_awq,13,"Malgré ses succès, Aurélie a continué à lutter contre son handicap.","

",succès,succès,NOUN,ses succès,[],[]
llama_v1_long_withdis_11_torch,2,"Malgré ces difficultés, Anaïs n'est pas découragée et découvre tôt son amour pour les livres et la lecture.","Elle est née avec une maladie rare qui affecte ses jambes, la paralysie cérébrale.",difficultés,difficulté,NOUN,ces difficultés,"['maladie rare', 'paralysie']",['handicaps moteurs']
llama_v1_long_withdis_11_torch,7,"Malgré les difficultés de mobilité, Anaïs travaille dur pour terminer ses études et sort diplômée en 2005.",Elle y découvre sa passion pour l'écriture et décide de devenir écrivain.,difficultés,difficulté,NOUN,les difficultés,[],[]
llama_v1_long_withdis_11_torch,16,"Malgré sa réussite, Anaïs n'oublie pas ses racines et continue à écrire pour partager ses expériences et son point de vue avec le monde.","

",réussite,réussite,NOUN,sa réussite,[],[]
llama_v1_long_withdis_12_awq,3,"Malgré ces défis, Marie avait une passion pour la peinture et la sculpture.","

",défis,défi,NOUN,ces défis,[],[]
llama_v1_long_withdis_12_torch,2,"Malgré cette blessure grave, Sophie refuse de se laisser abattre et se met en quête de ses rêves.","À l'âge de 5 ans, elle est victime d'un accident de voiture qui lui coupe les deux jambes en bas.",blessure,blessure,NOUN,cette blessure grave,[],[]
llama_v1_long_withdis_12_torch,6,"Malgré sa réussite professionnelle, Sophie doit continuer à faire face à ses difficultés quotidiennes en raison de son handicap.",Ses toiles sont exposées dans les galeries de Paris et elle est sollicitée pour réaliser des commandes de grandes œuvres d'art pour des entreprises et des particuliers fortunés.,réussite,réussite,NOUN,sa réussite professionnelle,[],[]
