,Unnamed: 0,doc_id,bio,genre_auto,Detailed_counter,Detailed_markers,model,prompt_version,disability_in_prompt,run,quant,categories,disabilities,locations,locations_raw,names,organisations,categories_parsed,disabilities_parsed,locations_parsed,locations_raw_parsed,names_parsed,organisations_parsed,handicaps moteurs,handicaps sensoriels,handicaps psychiques,handicaps cognitifs,handicaps mentaux,maladies chroniques évolutives ou invalidantes,maladies génétiques,none,other,is_Fem,is_Masc
3,3,qwen_v1_long_nodis_25_awq.txt,"Élise Moreau est née le 12 mai 1958 à Lyon, dans une famille d’artisans. Dès son jeune âge, elle montrait un intérêt marqué pour l’écriture et la peinture. Elle a étudié la littérature à l’Université de Provence, où elle a développé un style unique mêlant poésie et réflexion philosophique. Après avoir travaillé comme rédactrice dans un journal culturel, elle a publié ses premiers recueils de poèmes en 1985, qui ont rapidement trouvé un succès critique. Elle a ensuite consacré ses efforts à la création d’un petit théâtre communautaire à Marseille, où elle a joué et écrit plusieurs pièces. Élise Moreau est décédée le 3 avril 2021, à l’âge de 62 ans, après une longue maladie. Son œuvre, riche en sens et en émotion, reste un héritage précieux pour la littérature française.",Fem,Counter({'Fem': 5}),"[née, rédactrice, décédée, 'elle (pronom majoritaire)']",qwen,v1_long,False,25,awq,['autres termes'],['maladie'],[],[],"['Baudelaire', 'Jean-Luc Dumont', 'Verlaine']",[],['autres termes'],['maladie'],[],[],"['Baudelaire', 'Jean-Luc Dumont', 'Verlaine']",[],False,False,False,False,False,False,False,False,True,True,False
34,34,qwen_v1_long_nodis_0_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle montra un grand intérêt pour l'écriture et la musique. Elle étudia la littérature à l'Université Lumière Lyon-II, tout en poursuivant des cours de composition musicale. Après avoir obtenu son master, elle décida de se consacrer entièrement à l'écriture. Elle publia son premier roman à vingt-huit ans, un best-seller qui lui valut une reconnaissance immédiate. Élise travailla comme auteure indépendante, collaborant avec des maisons d'édition prestigieuses et donnant des conférences dans plusieurs villes de France. Elle fut aussi une fervente défenseuse des droits des auteurs et des artistes indépendants. Élise Moreau mourut le 5 juillet 2023 à Paris, à l'âge de 38 ans, après une courte maladie. Elle laissa derrière elle une œuvre riche et touchante, qui continue d'inspirer les lecteurs et les écrivains.",Fem,Counter({'Fem': 6}),"[auteure, indépendante, fervente, défenseuse, 'elle (pronom majoritaire)']",qwen,v1_long,False,0,torch,['autres termes'],['maladie'],"['Europe', 'France', 'Paris', 'cimetière du Père-Lachaise']","['Europe', 'France', 'Paris', 'cimetière du Père-Lachaise']","['Colette Dupont', 'Juliette', 'Juliette Dupont', 'Laurent', 'Pierre Dupont', 'Romain Rolland', 'Émile Sénart']",['Académie française'],['autres termes'],['maladie'],"['Europe', 'France', 'Paris', 'cimetière du Père-Lachaise']","['Europe', 'France', 'Paris', 'cimetière du Père-Lachaise']","['Colette Dupont', 'Juliette', 'Juliette Dupont', 'Laurent', 'Pierre Dupont', 'Romain Rolland', 'Émile Sénart']",['Académie française'],False,False,False,False,False,False,False,False,True,True,False
39,39,qwen_v1_long_nodis_23_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un intérêt marqué pour la peinture et la musique. Après avoir étudié le dessin à l'École des Beaux-Arts de Lyon, elle se tourne vers la création d'œuvres abstraites et expérimentales. Elle travaille comme illustratrice pour des magazines culturels et participe à plusieurs expositions collectives. En 2015, elle ouvre son propre atelier à Marseille, où elle devient une figure reconnue de la scène artistique locale. Élise meurt le 3 juillet 2023, à l'âge de 38 ans, après une longue maladie. Son héritage artistique continue d'inspirer de nouveaux talents.",Fem,Counter({'Fem': 4}),"[née, illustratrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,23,torch,['autres termes'],['maladie'],['Paris'],['Paris'],"['Sophie', 'Sophie Dupont']",[],['autres termes'],['maladie'],['Paris'],['Paris'],"['Sophie', 'Sophie Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
53,53,qwen_v1_long_nodis_37_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un intérêt marqué pour la peinture et la sculpture. Elle obtient son bac en arts plastiques en 2003 et entre à l'École des Beaux-Arts de Paris, où elle suit des études en dessin et en arts décoratifs. Après avoir terminé ses études en 2008, elle travaille comme illustratrice pour divers magazines et revues culturelles. Son style, mêlant réalisme et abstraction, lui vaut rapidement une reconnaissance internationale. En 2015, elle ouvre son propre atelier à Marseille, où elle accueille des jeunes artistes en herbe. Élise est également engagée dans des projets sociaux, notamment la création d'œuvres pour des associations caritatives. Elle meurt le 3 juillet 2023, à l'âge de 38 ans, après une longue maladie. Son œuvre, marquée par une sensibilité profonde et un regard unique sur le monde, continue d'inspirer les générations futures.",Fem,Counter({'Fem': 5}),"[née, illustratrice, engagée, 'elle (pronom majoritaire)']",qwen,v1_long,False,37,torch,['autres termes'],['maladie'],[],[],"['Renée', 'Renée Dupont']",['université de Paris'],['autres termes'],['maladie'],[],[],"['Renée', 'Renée Dupont']",['université de Paris'],False,False,False,False,False,False,False,False,True,True,False
64,64,qwen_v1_long_nodis_16_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle montre un intérêt marqué pour la peinture et la musique. Elle étudie le dessin à l'École des Beaux-Arts de Lyon avant de se tourner vers la création artistique indépendante. Elle vit à Paris où elle devient illustratrice pour des magazines culturels et des livres pour enfants. Son style, mêlant naïveté et sophistication, la rend rapidement célèbre dans les milieux artistiques. Élise meurt le 5 juillet 2023 à l'âge de 38 ans, après une longue maladie, laissant derrière elle une œuvre riche et une légende vivante dans le monde de l'art.",Fem,Counter({'Fem': 5}),"[née, illustratrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,16,torch,['autres termes'],['maladie'],"['Londres', 'New York', 'Paris']","['Londres', 'New York', 'Paris']",['Renée Dupont'],[],['autres termes'],['maladie'],"['Londres', 'New York', 'Paris']","['Londres', 'New York', 'Paris']",['Renée Dupont'],[],False,False,False,False,False,False,False,False,True,True,False
95,95,qwen_v1_long_nodis_6_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son plus jeune âge, elle montrait un intérêt marqué pour l'écriture et la poésie. Après avoir obtenu son bac littéraire, elle s'inscrit à la Sorbonne où elle obtient une licence en littérature comparée. Elle poursuit ensuite ses études à Paris, en doctorat en études féministes. Élise travaille comme professeure de français dans un lycée parisien pendant plusieurs années, tout en continuant à écrire. Son premier recueil de poèmes, intitulé « Les Ombres de la lumière », est publié à l'âge de trente-cinq ans et rencontre un vif succès. Elle devient rapidement une figure reconnue de la littérature contemporaine. Élise meurt le 15 octobre 2023, à l'âge de trente-huit ans, après une longue maladie. Son œuvre, riche en sens et en émotion, reste un héritage précieux pour les générations futures.",Fem,Counter({'Fem': 4}),"[née, professeure, 'elle (pronom majoritaire)']",qwen,v1_long,False,6,torch,['autres termes'],['maladie'],"['France', 'Paris']","['France', 'Paris']",['Alexandre Dupont'],['École des Beaux-Arts de Paris'],['autres termes'],['maladie'],"['France', 'Paris']","['France', 'Paris']",['Alexandre Dupont'],['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,True,False
114,114,qwen_v1_long_nodis_10_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle montra un intérêt marqué pour la peinture et le dessin. Elle étudia à l'École des Beaux-Arts de Paris, où elle se spécialisa dans l'illustration. Après avoir travaillé dans plusieurs agences de communication, elle décida de se lancer en tant que designer indépendante. Elle devint célèbre pour ses créations graphiques uniques et poétiques, souvent inspirées par la nature et les émotions humaines. Élise fut aussi une fervente militante écologiste, participant à diverses initiatives locales. Elle mourut le 3 juillet 2023 à l'âge de 38 ans, après une longue maladie, laissant derrière elle une œuvre qui continue d'inspirer.",Fem,"Counter({'Fem': 4, 'Masc': 1})","[designer, fervente, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,10,torch,['autres termes'],['maladie'],"['France', 'Lyon']","['France', 'Lyon', 'art']","['Sophie', 'Sophie Dupont']","['Art Sans Frontières', 'handicapées', 'École des Beaux-Arts de Lyon']",['autres termes'],['maladie'],"['France', 'Lyon']","['France', 'Lyon', 'art']","['Sophie', 'Sophie Dupont']","['Art Sans Frontières', 'handicapées', 'École des Beaux-Arts de Lyon']",False,False,False,False,False,False,False,False,True,True,False
129,129,qwen_v1_long_nodis_46_awq.txt,"Élise Moreau naquit le 12 avril 1958 à Lyon, dans une famille modeste mais très cultivée. Dès son jeune âge, elle montra une passion pour les lettres et la philosophie, ce qui la conduisit à étudier la littérature à la Sorbonne. Après avoir obtenu son doctorat en 1985, elle devint professeur d’histoire des idées à l’université de Paris-Sorbonne, où elle enseigna pendant plus de vingt ans. Elle était connue pour ses cours passionnants et ses travaux sur les penseurs du XIXe siècle. Élise publia plusieurs ouvrages influents, notamment « Les Lumières revisitées » et « Le Silence des philosophes ». Elle fut également invitée à donner des conférences dans plusieurs universités européennes. Élise Moreau mourut le 3 juillet 2022 à Paris, à l’âge de 64 ans, après une longue maladie. Elle laissait derrière elle une œuvre riche et une réputation de pensée profonde et engagée.",Fem,Counter({'Fem': 2}),['elle (pronom majoritaire)'],qwen,v1_long,False,46,awq,['autres termes'],['maladie'],[],[],"['Sophie', 'Sophie Dupont']",[],['autres termes'],['maladie'],[],[],"['Sophie', 'Sophie Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
145,145,qwen_v1_long_nodis_25_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle montra un grand intérêt pour la peinture et la sculpture. Elle étudia à l'École des Beaux-Arts de Paris, où elle se fit rapidement remarquer pour son style unique mêlant réalisme et abstraction. Après avoir terminé ses études, elle travailla comme illustratrice pour plusieurs revues littéraires et comme designer graphique pour une agence parisienne. Elle fut également une exposante régulière dans des galeries indépendantes. Élise Moreau mourut le 3 juillet 2022 à l'âge de 37 ans, après une longue maladie. Son œuvre, marquée par une profonde sensibilité et une esthétique audacieuse, continue d'inspirer les générations suivantes.",Fem,"Counter({'Fem': 3, 'Masc': 1})","[illustratrice, designer, 'elle (pronom majoritaire)']",qwen,v1_long,False,25,torch,['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['L', 'Léa', 'Léa Dupont']",[],['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['L', 'Léa', 'Léa Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
146,146,qwen_v1_long_nodis_31_torch.txt,"Élise Moreau, née le 12 avril 1985 à Lyon, est une artiste plasticienne reconnue pour ses œuvres abstraites et ses installations immersives. Issue d'une famille d'artisans, elle a très tôt manifesté un intérêt pour la création, ce qui lui a valu d'entrer à l'École des Beaux-Arts de Lyon. Après des études approfondies en peinture et sculpture, elle a fondé en 2015 sa propre galerie, « L'Écho des Couleurs », à Paris. Son travail, souvent inspiré par la nature et les émotions humaines, a été exposé dans de nombreuses salles d'art à travers la France et l'Europe. Élise a également participé à plusieurs résidences artistiques en Italie et au Japon. Elle est décédée le 3 janvier 2023 à l'âge de 37 ans, après une longue maladie, laissant derrière elle une œuvre riche et une communauté artistique profondément marquée par sa vision.",Fem,Counter({'Fem': 7}),"[née, artiste, plasticienne, reconnue, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,31,torch,['autres termes'],['maladie'],"['France', 'Paris', 'Île-de-France']","['France', 'Paris', 'Île-de-France']","['L', 'Léa', 'Léa Dupont']",[],['autres termes'],['maladie'],"['France', 'Paris', 'Île-de-France']","['France', 'Paris', 'Île-de-France']","['L', 'Léa', 'Léa Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
