,Unnamed: 0,doc_id,bio,genre_auto,Detailed_counter,Detailed_markers,model,prompt_version,disability_in_prompt,run,quant,categories,disabilities,first_names,last_names,locations,locations_raw,names,names_raw,organisations,unclassified_names,categories_parsed,disabilities_parsed,locations_parsed,locations_raw_parsed,names_parsed,names_raw_parsed,first_names_parsed,last_names_parsed,unclassified_names_parsed,organisations_parsed,handicaps moteurs,handicaps sensoriels,handicaps psychiques,handicaps cognitifs,handicaps mentaux,maladies chroniques évolutives ou invalidantes,maladies génétiques,none,other,is_Fem,is_Masc
2,2,llama_v1_long_nodis_10_awq.txt,"Suzanne Dupont naît le 15 février 1955 à Lyon, dans une famille modeste. Elle est la cinquième d'une fratrie de sept enfants. Son père, un ouvrier dans une usine textile, encourage sa passion pour la peinture dès l'enfance. Après avoir obtenu son baccalauréat, elle décide de suivre des cours de peinture à l'École des Beaux-Arts de Lyon.

Au cours des années 1970, Suzanne Dupont commence à se faire connaître sur la scène artistique lyonnaise. Elle expose ses œuvres dans plusieurs galeries et musées locaux. Ses peintures, souvent inspirées par la nature et la vie quotidienne, attirent l'attention de critiques et collectionneurs.

Dans les années 1980, Suzanne Dupont commence à collaborer avec des artistes de renom. Ensemble, ils créent des œuvres qui fusionnent peinture, sculpture et photographie. Cette collaboration la pousse à explorer de nouvelles techniques et à expérimenter des formes artistiques inédites.

Le 10 décembre 1995, à l'âge de 40 ans, Suzanne Dupont décède d'un cancer du pancréas. Sa mort marque un choc pour l'artiste lyonnaise, qui la considère comme l'une de ses figures de proue. Ses peintures, qui reflètent sa fascination pour la vie et la mort, continuent d'être exposées et appréciées par les amateurs d'art.",Fem,Counter({'Fem': 2}),['elle (pronom majoritaire)'],llama,v1_long,False,10,awq,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Suzanne'],['Dupont'],['Lyon'],['Lyon'],['Suzanne Dupont'],['Suzanne Dupont'],['École des Beaux-Arts de Lyon'],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],['Lyon'],['Lyon'],['Suzanne Dupont'],['Suzanne Dupont'],['Suzanne'],['Dupont'],[],['École des Beaux-Arts de Lyon'],False,False,False,False,False,True,False,False,False,True,False
6,6,llama_v1_long_nodis_12_awq.txt,"Léonide Dubois naît le 15 février 1920 dans une petite ferme du Jura. C'est le septième d'une famille de neuf enfants. Ses parents sont agriculteurs et lui inculquent dès son enfance l'amour de la terre et de la nature. Léonide est un garçon solitaire et rêveur, il passe ses journées à explorer les bois et les champs alentour, observant la faune et la flore. Après avoir terminé ses études primaires, il décide de suivre sa passion et devient botaniste. Il s'inscrit à l'université de Genève pour étudier la botanique et la biologie.

Léonide se spécialise dans l'étude des plantes rares et des espèces menacées. Il réalise des recherches approfondies sur les propriétés médicinales des plantes et leur impact sur l'environnement. Ses travaux sont publiés dans des revues scientifiques de renom et il devient rapidement un expert dans son domaine.

En 1950, Léonide est nommé professeur de botanique à l'université de Genève. Il continue à faire des recherches et à enseigner, mais il se sent de plus en plus frustré par les limites de ses découvertes. Il rêve de trouver une plante qui puisse guérir les maladies les plus graves et de changer la vie des gens.

Le 10 décembre 1975, Léonide Dubois meurt subitement d'une crise cardiaque. Il laisse derrière lui une famille, des collègues et des étudiants qui le considèrent comme un père. Ses recherches sont poursuivies par ses élèves et collègues, mais il reste le plus grand botaniste de son temps. Son legacy continue à inspirer les générations futures de scientifiques et de naturalistes.",Masc,Counter({'Masc': 8}),"[garçon, rêveur, expert, nommé, 'laisse derrière lui', grand, 'il (pronom majoritaire)']",llama,v1_long,False,12,awq,['autres termes'],['maladie'],['Léonide'],['Dubois'],['Jura'],"['Jura', 'plantes']","['Léonide', 'Léonide Dubois']","['Léonide', 'Léonide Dubois']",['université de Genève'],[],['autres termes'],['maladie'],['Jura'],"['Jura', 'plantes']","['Léonide', 'Léonide Dubois']","['Léonide', 'Léonide Dubois']",['Léonide'],['Dubois'],[],['université de Genève'],False,False,False,False,False,False,False,False,True,False,True
7,7,llama_v1_long_nodis_12_torch.txt,"Sophie Dupont est née le 12 mars 1975 dans une petite ville de province française. Elle grandit dans une famille de cultivateurs et développe très tôt une passion pour la nature et les arts. Après des études secondaires, Sophie décide de suivre ses rêves et s'inscrit à l'école des Beaux-Arts de Paris, où elle étudie la peinture et la sculpture. Elle y développe une spécialité dans la sculpture en bronze et se fait connaître pour ses œuvres émouvantes et poétiques.

Après son diplôme, Sophie s'installe à Paris et commence à exposer ses œuvres dans des galeries locales. Elle connait un succès rapide et ses sculptures sont rapidement acquises par des collectionneurs privés et des musées. Elle reçoit également des commandes de pièces monumentales pour des bâtiments publics et des jardins.

Sophie continue à créer et à exposer jusqu'à sa mort prématurée, le 15 août 2005, d'un cancer du pancréas. Elle laisse derrière elle une œuvre remarquable qui continue d'être admirée et appréciée par les amateurs d'art contemporain. Sa mémoire est célébrée par ses amis, sa famille et la communauté artistique qui la considère comme une artiste visionnaire et innovante.",Fem,Counter({'Fem': 6}),"[née, 'laisse derrière elle', artiste, innovante, 'elle (pronom majoritaire)']",llama,v1_long,False,12,torch,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Sophie'],['Dupont'],['Paris'],['Paris'],"['Sophie', 'Sophie Dupont']","['Sophie', 'Sophie Dupont']",['école des Beaux-Arts de Paris'],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],['Paris'],['Paris'],"['Sophie', 'Sophie Dupont']","['Sophie', 'Sophie Dupont']",['Sophie'],['Dupont'],[],['école des Beaux-Arts de Paris'],False,False,False,False,False,True,False,False,False,True,False
8,8,llama_v1_long_nodis_13_awq.txt,"Sophie Dubois naît le 12 mars 1975 à Lyon, dans une famille modeste de commerçants. Elle passe son enfance à jouer avec ses deux frères et sœurs, et à rêver de devenir artiste. Après des études de beaux-arts à l'École des Beaux-Arts de Lyon, Sophie Dubois s'installe à Paris pour poursuivre sa formation.

Elle commence sa carrière en tant que graphiste pour des agences de publicité, avant de se lancer dans la peinture. Ses œuvres, souvent abstraites et colorées, sont rapidement remarquées par la critique et le public. Sophie Dubois expose régulièrement dans des galeries parisiennes et participe à des foires internationales.

En 2005, Sophie Dubois reçoit le prix de la Jeune Peinture pour son travail « L'Univers en Fleur ». Ce prix lui permet de voyager et de se mettre en contact avec d'autres artistes de renom. Elle expose ensuite à New York, à Tokyo et à Berlin.

En 2010, Sophie Dubois est victime d'un grave accident de la route qui la laisse paralysée des jambes. Malgré cette maladie, elle continue à créer et à peindre. Ses tableaux deviennent encore plus abstraits et colorés, comme si elle cherchait à exprimer la liberté qu'elle n'a plus.

Sophie Dubois meurt le 15 octobre 2020, à l'âge de 45 ans, laissant derrière elle une œuvre considérable et un public ému par son courage et sa détermination. Ses derniers tableaux, qui représentaient les couleurs de l'arc-en-ciel, sont vendus aux enchères pour la somme de 10 millions d'euros.",Fem,Counter({'Fem': 3}),"['laissant derrière elle', 'elle (pronom majoritaire)']",llama,v1_long,False,13,awq,['handicaps moteurs'],"['paralysé', 'maladie']",['Sophie'],['Dubois'],"['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo']","['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo', 'euros']",['Sophie Dubois'],['Sophie Dubois'],['École des Beaux-Arts de Lyon'],[],['handicaps moteurs'],"['paralysé', 'maladie']","['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo']","['Berlin', 'Lyon', 'New York', 'Paris', 'Tokyo', 'euros']",['Sophie Dubois'],['Sophie Dubois'],['Sophie'],['Dubois'],[],['École des Beaux-Arts de Lyon'],True,False,False,False,False,False,False,False,False,True,False
13,13,llama_v1_long_nodis_15_torch.txt,"Sophie Dupont naît en 1985 dans une famille modeste de province française. Elle grandit dans un environnement artistique, son père étant peintre et sa mère chanteuse. Cela pousse Sophie à explorer son créativité dès son plus jeune âge. Après des études de littérature à Paris, elle décide de se lancer dans l'écriture de romans. Elle publie son premier ouvrage, ""Les Rêves de l'ombre"", en 2010, qui obtient un certain succès critique. Ses romans suivants, comme ""La Nuit éternelle"" et ""Le Jardin des illusions"", la catapultent à la célébrité. Sophie Dupont devient l'une des écrivaines les plus prolifiques et les plus appréciées de sa génération. Elle meurt en 2020, à 35 ans, d'une maladie rare, laissant derrière elle un héritage littéraire exceptionnel et un public dévot. Ses romans continuent de fasciner les lecteurs et d'être traduits dans plusieurs langues.",Fem,Counter({'Fem': 4}),"[chanteuse, 'laissant derrière elle', 'elle (pronom majoritaire)']",llama,v1_long,False,15,torch,['autres termes'],['maladie rare'],['Sophie'],['Dupont'],['Paris'],['Paris'],"['Sophie', 'Sophie Dupont']","['Sophie', 'Sophie Dupont']",[],[],['autres termes'],['maladie rare'],['Paris'],['Paris'],"['Sophie', 'Sophie Dupont']","['Sophie', 'Sophie Dupont']",['Sophie'],['Dupont'],[],[],False,False,False,False,False,False,False,False,True,True,False
14,14,llama_v1_long_nodis_16_awq.txt,"Sœur Angélique Dupont naît le 12 février 1890 à Marseille, en France. C'est la fille d'un capitaine de navire et d'une institutrice. Elle passe son enfance à voyager avec ses parents, découvrant ainsi de nombreux ports de la Méditerranée. Après les études secondaires, elle entre au séminaire de Marseille pour devenir sœur. En 1910, elle est ordonnée et commence à enseigner la musique et le chant dans les écoles de la paroisse. Sœur Angélique Dupont se spécialise dans l'éducation des enfants déficients auditifs et devient une experte dans ce domaine. Elle crée un institut pour les sourds à Marseille et y enseigne pendant plus de 30 ans. Elle meurt le 10 mai 1965, à l'âge de 75 ans, laissant derrière elle une œuvre considérable dans l'éducation des enfants déficients auditifs. Elle est inhumée dans le cimetière des Frères de Marseille.",Fem,Counter({'Fem': 5}),"[fille, experte, 'laissant derrière elle', 'elle (pronom majoritaire)']",llama,v1_long,False,16,awq,['handicaps sensoriels'],['sourd'],['Angélique'],['Dupont'],"['France', 'Marseille', 'Méditerranée', 'cimetière des Frères de Marseille']","['France', 'Marseille', 'Méditerranée', 'cimetière des Frères de Marseille']",['Angélique Dupont'],['Angélique Dupont'],[],[],['handicaps sensoriels'],['sourd'],"['France', 'Marseille', 'Méditerranée', 'cimetière des Frères de Marseille']","['France', 'Marseille', 'Méditerranée', 'cimetière des Frères de Marseille']",['Angélique Dupont'],['Angélique Dupont'],['Angélique'],['Dupont'],[],[],False,True,False,False,False,False,False,False,False,True,False
18,18,llama_v1_long_nodis_18_awq.txt,"Colette Dumont naît le 12 mars 1955 à Paris, en France. Issue d'une famille d'artistes, elle est destinée à poursuivre les passions de ses parents. Colette commence à dessiner dès son plus jeune âge et se révèle avoir un don naturel. Elle poursuit ses études à l'École des Beaux-Arts de Paris, où elle se spécialise en peinture et en gravure. Ses œuvres sont immédiatement remarquées par la critique et le public, qui admirent la beauté et la profondeur de ses créations.

À la fin des années 1970, Colette commence à s'imposer sur la scène artistique parisienne. Elle expose régulièrement dans les galeries de la capitale et se fait connaître pour ses compositions poétiques et émouvantes. Ses peintures sont influencées par l'expressionnisme et l'abstraction, ce qui la rend unique parmi ses pairs.

En 1985, Colette Dumont est victime d'un grave accident de la route qui la laisse paralysée. Elle est contrainte de renoncer à sa carrière d'artiste, mais continue à créer en utilisant la technique de la gravure. Ses œuvres deviennent encore plus intimes et personnelles, comme si elle tentait de communiquer avec le monde extérieur à travers ses créations.

Colette Dumont décède le 22 août 2001, à l'âge de 46 ans, laissant derrière elle une œuvre riche et profonde qui continue à inspirer les artistes de sa génération. Son legs artistique est encore aujourd'hui apprécié par les amateurs d'art et les historiens de l'art, qui reconnaissent en elle une figure emblématique de la peinture française du XXe siècle.",Fem,Counter({'Fem': 3}),"['laissant derrière elle', 'elle (pronom majoritaire)']",llama,v1_long,False,18,awq,['handicaps moteurs'],['paralysé'],['Colette'],['Dumont'],"['France', 'Paris']","['France', 'Paris', 'capitale']","['Colette', 'Colette Dumont']","['Colette', 'Colette Dumont']",['École des Beaux-Arts de Paris'],[],['handicaps moteurs'],['paralysé'],"['France', 'Paris']","['France', 'Paris', 'capitale']","['Colette', 'Colette Dumont']","['Colette', 'Colette Dumont']",['Colette'],['Dumont'],[],['École des Beaux-Arts de Paris'],True,False,False,False,False,False,False,False,False,True,False
20,20,llama_v1_long_nodis_19_awq.txt,"Alexandre Dumont naît le 12 février 1975 à Paris, en France. Il est le fils d'un peintre et d'une musicienne. Alexandre commence à jouer de la guitare à l'âge de 8 ans et compose ses premières chansons à 12 ans. Il décide de devenir musicien professionnel et étudie la musique au Conservatoire de Paris.

Dumont se joint à un groupe de rock en 1995 et commence à écrire des chansons pour leur album. Leur premier album sort en 1997 et rencontre un certain succès. Dumont devient rapidement un des compositeurs les plus en vue du groupe.

En 2000, Dumont décide de lancer une carrière solo. Il sort son premier album solo, ""Rêves"", qui devient un grand succès commercial. Dumont tourne ensuite partout en France et en Europe pour promouvoir son album.

Dumont continue à sortir des albums solo tout au long de sa carrière. Il devient l'un des musiciens les plus prolifiques et les plus respectés de la scène musicale française.

Alexandre Dumont meurt le 10 août 2020, à l'âge de 45 ans, après une longue bataille contre un cancer. Son dernier album, ""Lumière"", sort en 2019 et reçoit un accueil triomphal de la critique et du public. Dumont est considéré comme l'un des plus grands musiciens de la scène musicale française.",Masc,Counter({'Masc': 6}),"[fils, musicien, professionnel, considéré, 'il (pronom majoritaire)']",llama,v1_long,False,19,awq,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Alexandre'],['Dumont'],"['Europe', 'France', 'Paris']","['Europe', 'France', 'Paris']","['Alexandre', 'Alexandre Dumont', 'Dumont']","['Alexandre', 'Alexandre Dumont', 'Dumont']",['Conservatoire de Paris'],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],"['Europe', 'France', 'Paris']","['Europe', 'France', 'Paris']","['Alexandre', 'Alexandre Dumont', 'Dumont']","['Alexandre', 'Alexandre Dumont', 'Dumont']",['Alexandre'],['Dumont'],[],['Conservatoire de Paris'],False,False,False,False,False,True,False,False,False,False,True
21,21,llama_v1_long_nodis_19_torch.txt,"Elodie Dupont naît le 12 février 1980 à Lyon, en France. Elle grandit dans une famille d'artistes et découvre très tôt son amour pour la peinture et la poésie. Après des études de lettres, elle décide de poursuivre une carrière de romancière et publie son premier roman à 25 ans. Ce premier ouvrage, intitulé 'Les Rêves de l'aube', rencontre un succès instantané et fait de Elodie Dupont une auteure à suivre. Au fil des années, elle écrit une dizaine de romans, dont certains sont traduits en plusieurs langues, ce qui lui vaut des prix et des distinctions prestigieux. Malgré son succès, Elodie Dupont reste humble et continue à écrire avec passion, toujours à la recherche de nouvelles histoires à raconter. Elle meurt le 15 août 2010, à l'âge de 30 ans, d'un cancer du poumon, mais son héritage littéraire continue à vivre à travers ses œuvres, qui inspirent encore de nombreux lecteurs et écrivains de notre temps.",Fem,Counter({'Fem': 4}),"[romancière, auteure, 'elle (pronom majoritaire)']",llama,v1_long,False,19,torch,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Elodie'],['Dupont'],"['France', 'Lyon']","['France', 'Lyon']",['Elodie Dupont'],['Elodie Dupont'],[],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],"['France', 'Lyon']","['France', 'Lyon']",['Elodie Dupont'],['Elodie Dupont'],['Elodie'],['Dupont'],[],[],False,False,False,False,False,True,False,False,False,True,False
23,23,llama_v1_long_nodis_1_torch.txt,"Aurélie Dupont est née le 12 février 1975 dans la ville de Lyon, en France. Elle est la fille d'un père peintre et d'une mère enseignante. Très tôt, Aurélie manifeste un goût pour les arts visuels et commence à prendre des cours de peinture et de sculpture dès l'âge de 8 ans. Elle poursuit ses études artistiques à l'école des Beaux-Arts de Lyon, où elle découvre son penchant pour la sculpture et l'installation. Après avoir obtenu son diplôme, elle s'installe à Paris pour poursuivre sa carrière artistique. C'est dans la capitale qu'elle rencontre son mari, un photographe, avec lequel elle a deux enfants. Aurélie Dupont devient rapidement une artiste reconnue pour ses sculptures géantes en métal et en bois, qui mettent en scène des figures humaines et animales dans des situations éphémères et poétiques. Ses œuvres sont exposées dans les plus grands musées du monde, dont le Centre Pompidou à Paris et le MoMA à New York. Elle reçoit de nombreux prix et distinctions, notamment le prix Marcel-Duchamp en 2005. Aurélie Dupont meurt le 15 août 2020, à l'âge de 45 ans, d'une maladie rare et incurable. Sa mort est un choc pour la communauté artistique, qui lui rend hommage pour son génie créatif et son engagement en faveur des arts visuels.",Fem,Counter({'Fem': 6}),"[née, fille, artiste, reconnue, 'elle (pronom majoritaire)']",llama,v1_long,False,1,torch,['autres termes'],['maladie rare'],['Aurélie'],['Dupont'],"['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Aurélie', 'Aurélie Dupont']","['Aurélie', 'Aurélie Dupont']",['école des Beaux-Arts de Lyon'],[],['autres termes'],['maladie rare'],"['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Centre Pompidou', 'France', 'Lyon', 'MoMA', 'New York', 'Paris']","['Aurélie', 'Aurélie Dupont']","['Aurélie', 'Aurélie Dupont']",['Aurélie'],['Dupont'],[],['école des Beaux-Arts de Lyon'],False,False,False,False,False,False,False,False,True,True,False
